match_id,map_name,stage,circle_x,circle_y,circle_radius,next_circle_x,next_circle_y,next_circle_radius,final_zone
99ad72bf2277d2e089942c80da4c64b0,worlds_edge,1,9937,8886,4825,11985,7530,2367,east
bc0777e9affb3795523c2cfe5917d778,worlds_edge,1,9592,7098,4825,9721,4644,2367,north
2702866def2972bc6c679131ffe79b72,e_district,1,7686,6992,5036,7074,4501,2470,north
62cde9061473554c48c4638f8c6d342d,storm_point,1,7287,4862,4894,4940,4040,2407,north
1e2bdbe152f525f7095306d8d9688057,storm_point,1,10047,8323,4894,12219,9535,2407,east
f79664f6952506b9e6b858a0529360fd,storm_point,1,8380,8413,4974,9945,10447,2407,south
a4060002142da499288c2b2c1704d48e,worlds_edge,1,7535,9859,4825,8733,11764,2367,south
ba320f2e7d97f17c8ef8ac87ec348e0a,storm_point,1,6153,8537,4894,4485,10382,2407,west
842edd721dea3ac4a529f8fd4225e438,storm_point,1,6401,6788,4894,3922,6605,2407,west
8cf2362b28cd74bb35e4696ea128faba,e_district,1,7707,10587,5036,10065,11593,2470,south
2602531a4a8473c8fd6496c3a2cda3bd,worlds_edge,1,6117,9565,4825,4125,11005,2367,south
9a7e773f06e941abe89c00bca53b51e5,worlds_edge,1,9630,6910,4825,10975,4853,2367,north
4c4f231f20f34306555efcbe0a048e6c,storm_point,1,9230,7478,4974,7570,9380,2407,center
391aacaf5e3678cf385a27ef3c8ac3c2,worlds_edge,1,8947,10146,4825,10614,11951,2367,south
ced86bb3d76f0f8af5f5e7785294077a,storm_point,1,9878,6353,4894,7673,5890,2407,center
a14a0ab131340cef10c9ccf0929d2f61,worlds_edge,1,10041,6967,4825,10262,4519,2367,north
f582b30f5ee30ac2609fc0d76e396763,worlds_edge,1,8445,10340,4825,7642,12661,2367,south
de43710a70989766d47d302f316f2d39,worlds_edge,1,7345,10485,4825,5275,11809,2367,south
64d8d5b63015af26a3881bd304f4a12e,worlds_edge,1,8927,7394,4825,11209,6488,2367,east
d84c159ea8367a2b3c8f2a19f651588d,worlds_edge,1,6288,8668,4825,4295,7229,2367,west
dc4ebf415483daaf5e8921ad740c0b1e,worlds_edge,1,10002,8438,4825,12239,9458,2367,east
6479921c304c80efa5ea1171ec3194ab,worlds_edge,1,10193,10010,4825,11065,7887,2367,east
75bafb605ec6bce8bae833e1b623afbd,storm_point,1,9019,9634,4974,11489,10331,2407,east
0157d184d42d14b436f1a7c5236a3cbf,worlds_edge,1,7188,6790,4825,6155,4560,2367,north
2e16af270dbb9670cb9834317d4bf0e1,storm_point,1,6958,4641,4894,4540,4059,2407,north
1a3618d1a66da1a6510f769a155b8ace,worlds_edge,1,6319,9841,4825,7758,11639,2367,south
b357bd5d7eaddbcdcb77395409f49d5b,storm_point,1,9257,5780,4894,9771,3347,2407,north
1239a6e769cacdf15fc98fccca209294,storm_point,1,9403,9728,4894,9986,12145,2407,south
731f3dcad3e44bab2bbf6d95d1ffb9c6,storm_point,1,6842,8000,4974,6695,10562,2407,south
1b8b9791ea8ae96787e98b94faf030c4,worlds_edge,1,10656,6957,4825,11115,4545,2367,north
cd6a0494d519fccf72f4ca3484582ec8,worlds_edge,1,7718,8122,4825,9291,6319,2367,center
b92af42fc3ae99d8054cef92a85d4adb,worlds_edge,1,6629,10596,4825,5116,12533,2367,south
1b8040dcd21ff8c9d16dac2beb29e2ff,worlds_edge,1,8692,11888,4825,6786,10752,2367,center
6aaaf25e6691ca143d1efb120c7e5dc2,storm_point,1,7001,6444,4894,6462,4016,2407,north
cccc94701244c13ff5846059137fc252,storm_point,1,9395,7650,4894,9343,5164,2407,north
84c21f9975d7c05763a3f29c46e74e30,storm_point,1,9415,8010,4974,8412,10372,2407,center
abb0c0a26208192dcdfb3471769fc2f4,e_district,1,7364,9120,5036,9405,7637,2470,center
61e157bff9fdc6e3680955063791e5c5,worlds_edge,1,8057,6440,4825,8987,7655,2367,center
b4dc5189bbe8bc756da19ea138719727,storm_point,1,6973,6513,4894,5086,4893,2407,west
bf414854bf1abe1d4e8ea72bdf951631,worlds_edge,1,10363,8979,4825,9695,6785,2367,center
a1ff2ec2dcf38e6da17a4846787f1e87,storm_point,1,7075,8540,4894,5217,10193,2407,south
4d29a9f273c277b6518bee22233acfb6,storm_point,1,10371,8692,4894,11437,10938,2407,east
153c68b63c516c91136bd8a62762acf9,storm_point,1,8519,10029,4894,10107,11943,2407,south
54ce8f46a7566891587a3907fcebb319,worlds_edge,1,8785,10643,4825,7404,12676,2367,south
6fd073f81a87f194e81a66c178a7b7dc,storm_point,1,9403,9728,4894,9986,12145,2407,south
ed79dbf81909bb47e4fd862ecbce9e0b,storm_point,1,6382,8673,4894,6125,11147,2407,south
663fecaee7ca53df83ad4841f37229db,e_district,1,8596,10815,5036,9805,13077,2470,south
42aa59602dfe5aa0bc8472eb4a22bc65,storm_point,1,9895,8646,4894,11610,10446,2407,east
311bfe112b5cc228d5b3d251721f2fee,worlds_edge,1,7554,10455,4825,9188,12291,2367,south
97102b8a93134c88efb21a10241f0434,storm_point,1,7856,5762,4894,6455,3707,2407,north
b93b091f92e58e5d9a28598b79995fe8,worlds_edge,1,7712,6129,4825,5684,4741,2367,north
d33ef8fde559e18e16cda83c165223d9,e_district,1,8784,10026,5036,9854,12357,2470,south
ec985a7bf37299bfa54e31e78daeca52,storm_point,1,6699,6970,4894,8732,7091,2407,center
f3293f221d0d6a3c54f3d3bbb68ef124,storm_point,1,5545,7006,4974,3338,5702,2407,west
8d99ade44efae5450767ae1b8b396042,worlds_edge,1,9120,11223,4825,9873,13562,2367,south
8a1e078373aefa9c72c1bed64b10eace,storm_point,1,7553,8904,4974,5853,10826,2407,south
3a96b928ab35be0283ed3a21da08aebf,storm_point,1,8841,6136,4974,9611,3688,2407,north
2de7ec5a01f80614d8607f76f483e558,storm_point,1,9437,9299,4894,10438,11575,2407,south
1f9beac9df3cf7797c27cf5dc98f4b22,worlds_edge,1,10825,9667,4825,9388,7678,2367,center
ac8fa5f54fb1f506ab18414b35faea60,storm_point,1,7554,9528,4974,6117,11654,2407,south
54b71cf419de0c1b2884f9367cdbfc4b,worlds_edge,1,7432,11088,4825,5035,11633,2367,west
c05ff69124288a7066b28bff2abf410d,worlds_edge,1,7242,11261,4825,4959,12166,2367,west
667276c68c94c1cb00581153109d0690,storm_point,1,9991,8834,4974,12557,8807,2407,east
983726683e75ed488155a40836fd51e9,worlds_edge,1,10178,10084,4825,11348,12244,2367,east
98418a7d86c2618d3b2b8886ad2e3fdd,storm_point,1,6528,6807,4974,4109,7663,2407,west
5a3ae5380d9b8897e39a8ae8f2f04e64,storm_point,1,8866,7753,4894,7117,9520,2407,center
2db8f82c46c7589a37a4909916d92dd4,storm_point,1,9037,9930,4974,11202,11310,2407,south
6c26203cb6e946ebaae652f2856a9cb1,storm_point,1,6447,6295,4894,6792,8653,2407,west
8394eeffff8aff02b21044d70585eb05,storm_point,1,8396,5953,4894,9574,3763,2407,north
37f2fa6f7fa0b864be2cdd3c903c4f8d,storm_point,1,9559,7213,4974,8072,5121,2407,north
119ff57074cc98e3f400d3f7ed39ab62,worlds_edge,1,7549,6307,4825,6201,4252,2367,north
bb8638ec723e705a1b971b618e23a469,worlds_edge,1,8579,10176,4825,10191,12031,2367,south
8de324f46c1d87a0a8d786b727987ca7,storm_point,1,10055,9362,4894,11694,11231,2407,south
3622e159b2b9ea37b9af178dc39c569f,storm_point,1,10596,8427,4974,13000,9326,2407,east
f29b2da9ff28047a6f0d5a7c33089fff,storm_point,1,9691,8620,4894,11821,9903,2407,east
e36449846bd0b85135394ed5e1fd7e31,storm_point,1,6750,7481,4894,4501,8543,2407,west
ca80e758557f7138bdb6ad84f3722460,worlds_edge,1,10072,6805,4825,11053,4553,2367,north
e01f6a06077dbbf3cd9ec849df4da1a7,storm_point,1,9266,5535,4894,8723,6953,2407,center
4e5014422f97638cbdbe6072d1f84c9c,worlds_edge,1,7690,10716,4825,5325,11384,2367,south
6cd3c27b1852932a6222c564a510cfc5,worlds_edge,1,11029,8794,4825,9606,7053,2367,center
e12fd20a46e68600732add772c2d91d6,storm_point,1,6033,7708,4894,3660,6964,2407,west
76f410ff34d3687036582c6d2d9b4e0d,worlds_edge,1,8959,8729,4825,9597,6447,2367,center
8feef344a5a562928f0a7ac27428ba98,storm_point,1,8431,8067,4894,6041,7444,2407,center
8e55ed14c942d1965e89ce3bebe378d7,e_district,1,7447,8730,5036,7632,11209,2470,south
5aa8356f8ed4c16ce9aef11cc001e06a,worlds_edge,1,8206,5944,4825,10114,4393,2367,north
cd9b2e835a96b2a491c06d51380a3f15,worlds_edge,1,8146,9226,4825,9338,7716,2367,center
f8a019a26c099e0413822c781e2fc47d,worlds_edge,1,7103,8898,4825,4889,7836,2367,west
32b7143b88b5acec52ed70d053b313f4,worlds_edge,1,7289,7059,4825,9592,6315,2367,center
6ac2dbdc0bdb77a82a528192df6f7156,storm_point,1,9403,9728,4894,9986,12145,2407,south
b3aeb26f04316cfb09dd09fedc46632d,storm_point,1,8889,7676,4894,11352,8016,2407,east
cd1ed7b767e4bc851d426e8befc6677b,storm_point,1,7571,9506,4894,6043,11468,2407,south
73f87432977d40aa890dd655715e6c7a,worlds_edge,1,7115,10619,4825,5102,12029,2367,west
f509b6460f45e32d802b936d8c79125b,worlds_edge,1,6600,9737,4825,4334,8784,2367,west
26b7ec9fcdc36d3dc6d45f13d656aaf7,storm_point,1,10407,7037,4894,12374,8559,2407,east
aa8bc5c4eb7f2774a87006b8b2ca2498,worlds_edge,1,8884,11703,4825,10609,13455,2367,south
937693c3abbfcb0745c7e1980c4ebc49,storm_point,1,10377,8799,4894,12842,9126,2407,east
69d68ea7db2df187715f62b4fd4db561,storm_point,1,6798,9258,4894,8737,8730,2407,center
9d2b57c6c3f359e86bbac9c710529fdb,e_district,1,7343,6962,5036,9352,5368,2470,north
e338aa173d35512963bcbe2bc0828b3c,worlds_edge,1,8154,5989,4825,6135,4591,2367,north
a3943a92870c7c4e24797ed58542b957,storm_point,1,4824,7364,4974,2803,8946,2407,west
ca349080d2424002676e751482df94fd,storm_point,1,10044,8846,4894,10104,11332,2407,south
3f127d7ff79a32986ecd0e413366341e,worlds_edge,1,6457,10041,4825,4516,11549,2367,south
5124cc508f67b9482b4479f622ff3b19,storm_point,1,9403,9728,4894,9986,12145,2407,south
7a2cb2d27b4d50b4c922c2f43ec87008,worlds_edge,1,8387,10281,4825,10702,11061,2367,south
503fed8331fd7c27af025d34a58ae9e5,storm_point,1,6395,6057,4894,4101,7017,2407,west
9d898348b97bb6a9f027f8dec8f4dc94,worlds_edge,1,7646,6382,4825,5982,4573,2367,north
09fcc8a3b9193599ce6d73c40f8e40eb,storm_point,1,9292,7662,4974,9028,10215,2407,center
33d8876ef6fe6821357e4fa1da743ba5,e_district,1,7564,8982,5036,6685,11392,2470,south
1b78e833660fde0a4cc9ba7328ff9fa3,worlds_edge,1,9577,9179,4825,9853,11572,2367,south
f105a0b2a01bf052291448c200ce2a9e,worlds_edge,1,9774,10958,4825,11661,12533,2367,east
